基金代码,基金简称,2021-08-25-单位净值,2021-08-25-累计净值,2021-08-24-单位净值,2021-08-24-累计净值,日增长值,日增长率,申购状态,赎回状态,手续费
011102,天弘中证光伏产业指数A,1.4224,1.4224,1.3643,1.3643,0.0581,4.26,开放申购,开放赎回,0.10%
011103,天弘中证光伏产业指数C,1.4208,1.4208,1.3627,1.3627,0.0581,4.26,开放申购,开放赎回,0.00%
012723,平安中证光伏产业指数C,1.1531,1.1531,1.1060,1.1060,0.0471,4.26,开放申购,开放赎回,0.00%
012722,平安中证光伏产业指数A,1.1534,1.1534,1.1064,1.1064,0.0470,4.25,开放申购,开放赎回,0.12%
012365,广发中证光伏产业指数C,1.2529,1.2529,1.2027,1.2027,0.0502,4.17,开放申购,开放赎回,0.00%
620004,金元顺安价值增长混合,1.2710,1.2710,1.2210,1.2210,0.05,4.10,开放申购,开放赎回,0.15%
011966,招商中证光伏产业指数A,1.1082,1.1082,1.0669,1.0669,0.0413,3.87,开放申购,开放赎回,0.12%
011967,招商中证光伏产业指数C,1.1072,1.1072,1.0660,1.0660,0.0412,3.86,开放申购,开放赎回,0.00%
620002,金元顺安成长动力混合,1.5650,2.0380,1.5070,1.98,0.0580,3.85,开放申购,开放赎回,0.15%
161032,富国中证煤炭指数(LOF)A,1.61,1.1220,1.5530,1.0820,0.0570,3.67,开放申购,开放赎回,0.00%
013275,富国中证煤炭指数(LOF)C,1.61,1.61,1.5530,1.5530,0.0570,3.67,开放申购,开放赎回,0.00%
002666,前海开源沪港深创新成长混合A,2.1320,2.2120,2.0690,2.1490,0.0630,3.04,开放申购,开放赎回,0.15%
002667,前海开源沪港深创新成长混合C,2.1020,2.1820,2.04,2.12,0.0620,3.04,开放申购,开放赎回,0.15%
009507,国金鑫意医药消费A,1.0119,1.0119,0.9828,0.9828,0.0291,2.96,开放申购,开放赎回,0.15%
009508,国金鑫意医药消费C,1.0060,1.0060,0.9771,0.9771,0.0289,2.96,开放申购,开放赎回,0.00%
161715,招商大宗商品(LOF),1.6360,1.7745,1.5949,1.7334,0.0411,2.58,开放申购,开放赎回,0.12%
970048,东海海睿致远灵活配置混合,1.4753,1.9901,1.4386,1.9534,0.0367,2.55,开放申购,开放赎回,0.15%
002959,汇添富盈泰混合,2.5730,2.5730,2.5120,2.5120,0.0610,2.43,开放申购,开放赎回,0.12%
005090,嘉合睿金混合发起式A,2.2741,2.5441,2.2202,2.4902,0.0539,2.43,开放申购,开放赎回,0.15%
005091,嘉合睿金混合发起式C,2.2283,2.4933,2.1754,2.4404,0.0529,2.43,开放申购,开放赎回,0.00%
001471,融通新能源灵活配置混合,3.1840,3.3040,3.1090,3.2290,0.0750,2.41,开放申购,开放赎回,0.15%
010615,国金自主创新混合A,0.9706,0.9706,0.9480,0.9480,0.0226,2.38,开放申购,开放赎回,0.15%
010616,国金自主创新混合C,0.9677,0.9677,0.9452,0.9452,0.0225,2.38,开放申购,开放赎回,0.00%
005368,富国清洁能源产业混合A,2.7277,2.7277,2.6661,2.6661,0.0616,2.31,开放申购,开放赎回,0.15%
011127,富国清洁能源产业混合C,2.7186,2.7186,2.6572,2.6572,0.0614,2.31,开放申购,开放赎回,0.00%
001300,大成睿景灵活配置混合A,2.3370,2.3370,2.2860,2.2860,0.0510,2.23,开放申购,开放赎回,0.15%
050024,博时上证自然资源ETF联接,1.0866,1.0866,1.0629,1.0629,0.0237,2.23,开放申购,开放赎回,0.12%
163822,中银主题策略混合,4.3220,4.4220,4.2280,4.3280,0.0940,2.22,开放申购,开放赎回,0.15%
003292,嘉实优势成长混合,1.3370,1.3370,1.3080,1.3080,0.0290,2.22,开放申购,开放赎回,0.15%
001301,大成睿景灵活配置混合C,2.2210,2.2210,2.1730,2.1730,0.0480,2.21,开放申购,开放赎回,0.00%
008638,广发科技创新混合,2.1241,2.1241,2.0785,2.0785,0.0456,2.19,开放申购,开放赎回,0.15%
010826,大成产业趋势混合A,1.2875,1.2875,1.2602,1.2602,0.0273,2.17,开放申购,开放赎回,0.15%
010827,大成产业趋势混合C,1.2820,1.2820,1.2549,1.2549,0.0271,2.16,开放申购,开放赎回,0.00%
398051,中海环保新能源混合,3.0970,3.1950,3.0330,3.1310,0.0640,2.11,开放申购,开放赎回,0.15%
006478,长盛多因子策略优选,2.1472,2.2782,2.1033,2.2343,0.0439,2.09,限大额,开放赎回,0.15%
008481,永赢股息优选C,1.5291,1.5291,1.4978,1.4978,0.0313,2.09,开放申购,开放赎回,0.00%
008480,永赢股息优选A,1.5333,1.5333,1.5020,1.5020,0.0313,2.08,开放申购,开放赎回,0.15%
013278,富国中证体育产业指数(LOF)C,0.8840,0.8840,0.8660,0.8660,0.0180,2.08,开放申购,开放赎回,0.00%
163804,中银收益混合A,2.2435,4.61,2.1979,4.5644,0.0456,2.07,开放申购,开放赎回,0.15%
005505,前海开源中药股票A,1.8624,1.8624,1.8259,1.8259,0.0365,2.00,开放申购,开放赎回,0.15%
005506,前海开源中药股票C,1.8518,1.8518,1.8155,1.8155,0.0363,2.00,开放申购,开放赎回,0.00%
002258,大成国企改革灵活配置混合,3.3140,3.3140,3.25,3.25,0.0640,1.97,限大额,开放赎回,0.15%
163807,中银优选灵活配置混合A,1.9748,3.7225,1.9366,3.6843,0.0382,1.97,开放申购,开放赎回,0.15%
012631,中银优选灵活配置混合C,1.9739,1.9739,1.9357,1.9357,0.0382,1.97,开放申购,开放赎回,0.00%
762001,国金国鑫发起A,1.8768,3.4035,1.8405,3.3672,0.0363,1.97,开放申购,开放赎回,0.15%
009762,国金国鑫发起C,1.8726,2.3071,1.8365,2.2710,0.0361,1.97,开放申购,开放赎回,0.00%
009907,湘财长泽灵活配置混合A,1.2241,1.2241,1.2005,1.2005,0.0236,1.97,开放申购,开放赎回,0.15%
009908,湘财长泽灵活配置混合C,1.2177,1.2177,1.1943,1.1943,0.0234,1.96,开放申购,开放赎回,0.00%
161030,富国中证体育产业指数(LOF)A,0.8830,0.6290,0.8660,0.6220,0.0170,1.96,开放申购,开放赎回,0.12%
012764,华泰紫金中证细分食品饮料发起C,0.9841,0.9841,0.9653,0.9653,0.0188,1.95,开放申购,开放赎回,0.00%
012763,华泰紫金中证细分食品饮料发起A,0.9839,0.9839,0.9651,0.9651,0.0188,1.95,开放申购,开放赎回,0.06%
001476,中银智能制造股票A,2.2610,2.2610,2.2180,2.2180,0.0430,1.94,开放申购,开放赎回,0.15%
012181,中银智能制造股票C,2.2610,2.2610,2.2180,2.2180,0.0430,1.94,开放申购,开放赎回,0.00%
002300,长盛医疗行业量化配置股票,2.54,2.54,2.4920,2.4920,0.0480,1.93,开放申购,开放赎回,0.15%
163801,中银中国混合(LOF),1.7420,5.0812,1.7095,5.0487,0.0325,1.90,开放申购,开放赎回,0.15%
001278,前海开源清洁能源混合A,1.9940,2.3540,1.9570,2.3170,0.0370,1.89,开放申购,开放赎回,0.15%
002360,前海开源清洁能源混合C,1.9870,2.3470,1.9510,2.3110,0.0360,1.85,开放申购,开放赎回,0.15%
002137,诺安利鑫灵活配置混合,1.8234,1.8234,1.7903,1.7903,0.0331,1.85,开放申购,开放赎回,0.15%
010802,长江量化消费精选股票C,0.8568,0.8568,0.8414,0.8414,0.0154,1.83,开放申购,开放赎回,0.00%
010801,长江量化消费精选股票A,0.8597,0.8597,0.8443,0.8443,0.0154,1.82,开放申购,开放赎回,0.15%
090018,大成新锐产业混合,5.9620,6.4620,5.8560,6.3560,0.1060,1.81,开放申购,开放赎回,0.15%
005472,富国价值驱动灵活配置混合A,2.7015,2.7015,2.6537,2.6537,0.0478,1.80,开放申购,开放赎回,0.15%
005473,富国价值驱动灵活配置混合C,2.6280,2.6280,2.5816,2.5816,0.0464,1.80,开放申购,开放赎回,0.00%
501011,汇添富中证中药指数(LOF)A,1.0853,1.0853,1.0661,1.0661,0.0192,1.80,开放申购,开放赎回,0.10%
501012,汇添富中证中药指数(LOF)C,1.0708,1.0708,1.0519,1.0519,0.0189,1.80,开放申购,开放赎回,0.00%
001631,天弘中证食品饮料指数A,2.9906,3.0687,2.9392,3.0173,0.0514,1.75,开放申购,开放赎回,0.10%
001632,天弘中证食品饮料指数C,2.9512,3.0288,2.9005,2.9781,0.0507,1.75,开放申购,开放赎回,0.00%
009008,平安科技创新混合A,2.0544,2.0544,2.0191,2.0191,0.0353,1.75,开放申购,开放赎回,0.15%
009009,平安科技创新混合C,2.0304,2.0304,1.9955,1.9955,0.0349,1.75,开放申购,开放赎回,0.00%
001279,中海积极增利混合,2.9860,2.9860,2.9350,2.9350,0.0510,1.74,开放申购,开放赎回,0.15%
006205,汇添富沪港深优势定开,1.5757,1.5757,1.5487,1.5487,0.0270,1.74,暂停申购,暂停赎回,0.15%
090001,大成价值增长混合,1.2031,4.6484,1.1825,4.6278,0.0206,1.74,开放申购,开放赎回,0.15%
005732,富国臻选成长灵活配置混合,2.4991,2.4991,2.4572,2.4572,0.0419,1.71,开放申购,开放赎回,0.12%
005671,前海联合研究优选混合A,2.2269,3.0269,2.1895,2.9895,0.0374,1.71,限大额,开放赎回,0.15%
005672,前海联合研究优选混合C,2.1547,2.9547,2.1185,2.9185,0.0362,1.71,限大额,开放赎回,0.00%
006783,红土创新中证500增强A,1.7291,1.7291,1.70,1.70,0.0291,1.71,开放申购,开放赎回,0.12%
006784,红土创新中证500增强C,1.7172,1.7172,1.6883,1.6883,0.0289,1.71,开放申购,开放赎回,0.00%
006424,嘉合锦程混合A,2.6832,2.7832,2.6383,2.7383,0.0449,1.70,开放申购,开放赎回,0.15%
006425,嘉合锦程混合C,2.6252,2.7252,2.5814,2.6814,0.0438,1.70,开放申购,开放赎回,0.00%
003769,中银品质生活混合,2.0883,2.0883,2.0536,2.0536,0.0347,1.69,开放申购,开放赎回,0.15%
163805,中银策略混合,1.3663,3.2134,1.3436,3.1907,0.0227,1.69,开放申购,开放赎回,0.15%
003634,嘉实农业产业股票,2.0220,2.0220,1.9889,1.9889,0.0331,1.66,开放申购,开放赎回,0.15%
007141,嘉合稳健增长混合A,1.6489,1.6489,1.6223,1.6223,0.0266,1.64,开放申购,开放赎回,0.15%
007142,嘉合稳健增长混合C,1.6384,1.6384,1.6120,1.6120,0.0264,1.64,开放申购,开放赎回,0.00%
910021,东方红启华三年持有混合A,4.5446,5.2416,4.4728,5.1698,0.0718,1.61,暂停申购,开放赎回,1.00%
007281,嘉合消费升级混合,1.2408,1.7908,1.2211,1.7711,0.0197,1.61,开放申购,开放赎回,0.15%
011313,东方红启华三年持有混合B,4.5425,4.5425,4.4709,4.4709,0.0716,1.60,限大额,暂停赎回,1.50%
011911,华夏消费优选混合A,0.8810,0.8810,0.8672,0.8672,0.0138,1.59,开放申购,开放赎回,0.15%
006225,人保量化混合A,1.8355,1.8355,1.8070,1.8070,0.0285,1.58,开放申购,开放赎回,0.15%
006226,人保量化混合C,1.7963,1.7963,1.7684,1.7684,0.0279,1.58,开放申购,开放赎回,0.00%
011912,华夏消费优选混合C,0.8793,0.8793,0.8656,0.8656,0.0137,1.58,开放申购,开放赎回,0.00%
501305,汇添富中证港股通(LOF)A,0.8928,0.8928,0.8791,0.8791,0.0137,1.56,开放申购,开放赎回,0.10%
501306,汇添富中证港股通(LOF)C,0.88,0.88,0.8665,0.8665,0.0135,1.56,开放申购,开放赎回,0.00%
004390,平安转型创新混合A,3.34,3.43,3.2890,3.3790,0.0510,1.55,开放申购,开放赎回,0.15%
004391,平安转型创新混合C,3.2556,3.3406,3.2059,3.2909,0.0497,1.55,开放申购,开放赎回,0.00%
006560,华夏四川国改ETF联接A,1.6678,1.6678,1.6423,1.6423,0.0255,1.55,开放申购,开放赎回,0.12%
006561,华夏四川国改ETF联接C,1.6547,1.6547,1.6295,1.6295,0.0252,1.55,开放申购,开放赎回,0.00%
161706,招商优质成长混合(LOF),3.5002,5.5956,3.4470,5.5424,0.0532,1.54,开放申购,开放赎回,0.15%
005669,前海开源公用事业股票,3.2005,3.2005,3.1519,3.1519,0.0486,1.54,限大额,开放赎回,0.15%
167002,平安鼎越混合(LOF),3.1433,3.1433,3.0956,3.0956,0.0477,1.54,开放申购,开放赎回,0.15%
163809,中银蓝筹混合,2.86,2.88,2.8170,2.8370,0.0430,1.53,开放申购,开放赎回,0.15%
007139,富国民裕进取沪港深成长A,2.1970,2.1970,2.1641,2.1641,0.0329,1.52,开放申购,开放赎回,0.15%
011556,富国民裕进取沪港深成长C,2.1933,2.1933,2.1605,2.1605,0.0328,1.52,开放申购,开放赎回,0.00%
000746,招商行业精选股票基金,4.2380,4.2380,4.1750,4.1750,0.0630,1.51,开放申购,开放赎回,0.15%
001677,中银战略新兴产业股票A,3.6570,3.6570,3.6030,3.6030,0.0540,1.50,开放申购,开放赎回,0.15%
010812,中银战略新兴产业股票C,3.6470,3.6470,3.5930,3.5930,0.0540,1.50,开放申购,开放赎回,0.00%
000587,大成灵活配置混合,3.6780,4.0780,3.6240,4.0240,0.0540,1.49,开放申购,开放赎回,0.15%
006712,前海开源MSCI中国A股消费A,2.2169,2.2169,2.1844,2.1844,0.0325,1.49,开放申购,开放赎回,0.12%
006713,前海开源MSCI中国A股消费C,2.2052,2.2052,2.1728,2.1728,0.0324,1.49,开放申购,开放赎回,0.00%
009601,招商科技动力3个月股票A,1.0490,1.0490,1.0336,1.0336,0.0154,1.49,开放申购,开放赎回,0.15%
163503,天治核心成长混合(LOF),0.8393,3.0535,0.8270,3.0295,0.0123,1.49,开放申购,开放赎回,0.15%
009602,招商科技动力3个月股票C,1.0411,1.0411,1.0259,1.0259,0.0152,1.48,开放申购,开放赎回,0.00%
010151,东财消费精选混合A,0.9830,0.9830,0.9687,0.9687,0.0143,1.48,开放申购,开放赎回,0.15%
010152,东财消费精选混合C,0.9758,0.9758,0.9616,0.9616,0.0142,1.48,开放申购,开放赎回,0.00%
700003,平安策略先锋混合,5.8630,5.9630,5.7780,5.8780,0.0850,1.47,开放申购,开放赎回,0.15%
000739,平安新鑫先锋A,2.9050,2.9050,2.8630,2.8630,0.0420,1.47,开放申购,开放赎回,0.12%
167001,平安鼎泰混合(LOF),2.2869,2.2869,2.2538,2.2538,0.0331,1.47,开放申购,开放赎回,0.15%
160805,长盛同智优势混合(LOF),1.7059,3.3365,1.6812,3.3118,0.0247,1.47,开放申购,开放赎回,0.15%
008261,招商研究优选股票A,1.4656,1.4656,1.4444,1.4444,0.0212,1.47,开放申购,开放赎回,0.15%
008262,招商研究优选股票C,1.45,1.45,1.4290,1.4290,0.0210,1.47,开放申购,开放赎回,0.00%
217020,招商安达灵活配置混合,3.1746,3.4725,3.1289,3.4268,0.0457,1.46,开放申购,开放赎回,0.15%
002803,东方红沪港深混合,2.9790,2.9790,2.9360,2.9360,0.0430,1.46,开放申购,开放赎回,0.15%
008404,华泰紫金泰盈混合A,1.6059,1.6059,1.5828,1.5828,0.0231,1.46,开放申购,开放赎回,0.12%
008405,华泰紫金泰盈混合C,1.6008,1.6008,1.5778,1.5778,0.0230,1.46,开放申购,开放赎回,0.00%
010624,富国稳健增长混合A,0.9511,0.9511,0.9374,0.9374,0.0137,1.46,开放申购,开放赎回,0.15%
161036,富国中证娱乐主题指数增强型,0.6756,0.6756,0.6659,0.6659,0.0097,1.46,开放申购,开放赎回,0.12%
010625,富国稳健增长混合C,0.9492,0.9492,0.9356,0.9356,0.0136,1.45,开放申购,开放赎回,0.00%
001515,平安新鑫先锋C,2.82,2.82,2.78,2.78,0.04,1.44,开放申购,开放赎回,0.00%
000530,招商丰盛稳定增长混合A,2.3240,2.3240,2.2910,2.2910,0.0330,1.44,限大额,开放赎回,0.15%
501031,汇添富中证环境治理指数C,0.5989,0.5989,0.5904,0.5904,0.0085,1.44,开放申购,开放赎回,0.00%
000083,汇添富消费行业混合,7.6390,7.6390,7.5310,7.5310,0.1080,1.43,开放申购,开放赎回,0.15%
160512,博时卓越品牌混合(LOF),3.19,3.3770,3.1450,3.3310,0.0450,1.43,开放申购,开放赎回,0.15%
501030,汇添富中证环境治理指数A,0.6033,0.6033,0.5948,0.5948,0.0085,1.43,开放申购,开放赎回,0.12%
011066,大成高新技术产业股票C,3.5280,3.5280,3.4790,3.4790,0.0490,1.41,开放申购,开放赎回,0.00%
000120,中银美丽中国混合,3.0210,3.0560,2.9790,3.0140,0.0420,1.41,开放申购,开放赎回,0.15%
519017,大成积极成长混合,1.5070,3.9160,1.4860,3.8950,0.0210,1.41,开放申购,开放赎回,0.15%
001135,益民品质升级混合,1.2240,1.2240,1.2070,1.2070,0.0170,1.41,开放申购,开放赎回,0.15%
000628,大成高新技术产业股票A,3.5370,3.5370,3.4880,3.4880,0.0490,1.40,开放申购,开放赎回,0.15%
000684,长盛养老健康产业灵活配置混合,2.4640,2.4640,2.43,2.43,0.0340,1.40,开放申购,开放赎回,0.15%
006218,富国生物医药科技混合A,2.3723,2.3723,2.3396,2.3396,0.0327,1.40,开放申购,开放赎回,0.15%
011308,富国生物医药科技混合C,2.3641,2.3641,2.3315,2.3315,0.0326,1.40,开放申购,开放赎回,0.00%
001564,东方红京东大数据混合,2.3220,2.3220,2.29,2.29,0.0320,1.40,开放申购,开放赎回,0.15%
002417,招商丰盛稳定增长混合C,2.3110,2.3110,2.2790,2.2790,0.0320,1.40,限大额,开放赎回,0.15%
007809,富国央企创新驱动ETF联接A,1.3776,1.3776,1.3586,1.3586,0.0190,1.40,开放申购,开放赎回,0.12%
001127,中银宏观策略混合,1.3760,1.3760,1.3570,1.3570,0.0190,1.40,开放申购,开放赎回,0.15%
005176,富国精准医疗混合,3.4681,3.4681,3.4204,3.4204,0.0477,1.39,开放申购,开放赎回,0.15%
501038,银华明择多策略定期开放混合,2.3402,2.3402,2.3081,2.3081,0.0321,1.39,暂停申购,暂停赎回,0.15%
007810,富国央企创新驱动ETF联接C,1.3681,1.3681,1.3493,1.3493,0.0188,1.39,开放申购,开放赎回,0.00%
000634,富国天盛灵活配置基金,1.6180,2.9540,1.5960,2.9320,0.0220,1.38,开放申购,开放赎回,0.15%
002158,汇添富安鑫智选混合C,1.5460,1.8810,1.5250,1.86,0.0210,1.38,开放申购,开放赎回,0.00%
008778,嘉实中证500指数增强A,1.4890,1.4890,1.4688,1.4688,0.0202,1.38,开放申购,开放赎回,0.10%
001796,汇添富安鑫智选混合A,1.4690,1.8040,1.4490,1.7840,0.02,1.38,开放申购,开放赎回,0.15%
519019,大成景阳领先混合,1.0990,4.7640,1.0840,4.7490,0.0150,1.38,开放申购,开放赎回,0.15%
009411,中银科技创新一年定开混合,1.0799,1.0799,1.0652,1.0652,0.0147,1.38,开放申购,开放赎回,0.15%
000993,华宝稳健回报混合,1.7050,1.7050,1.6820,1.6820,0.0230,1.37,开放申购,开放赎回,0.15%
010363,信达澳银匠心臻选两年持有期混合,1.5413,1.5413,1.5204,1.5204,0.0209,1.37,开放申购,暂停赎回,1.50%
001556,天弘中证500指数增强A,1.4874,1.4874,1.4673,1.4673,0.0201,1.37,开放申购,开放赎回,0.15%
008779,嘉实中证500指数增强C,1.4795,1.4795,1.4595,1.4595,0.02,1.37,开放申购,开放赎回,0.00%
001557,天弘中证500指数增强C,1.4586,1.4586,1.4389,1.4389,0.0197,1.37,开放申购,开放赎回,0.00%
010944,招商商业模式优选A,1.1033,1.1033,1.0884,1.0884,0.0149,1.37,开放申购,开放赎回,0.15%
010945,招商商业模式优选C,1.0995,1.0995,1.0846,1.0846,0.0149,1.37,开放申购,开放赎回,0.00%
007786,富国中证国企一带一路ETF联接A,1.3388,1.3388,1.3209,1.3209,0.0179,1.36,开放申购,开放赎回,0.12%
006878,天治量化核心精选混合C,1.1540,1.4290,1.1385,1.4135,0.0155,1.36,限大额,开放赎回,0.00%
006877,天治量化核心精选混合A,1.1265,1.3943,1.1114,1.3792,0.0151,1.36,限大额,开放赎回,0.15%
000410,益民服务领先混合,6.1580,6.1580,6.0760,6.0760,0.0820,1.35,开放申购,开放赎回,0.15%
008271,大成优势企业混合A,1.8197,1.8197,1.7955,1.7955,0.0242,1.35,开放申购,开放赎回,0.15%
007787,富国中证国企一带一路ETF联接C,1.3299,1.3299,1.3122,1.3122,0.0177,1.35,开放申购,开放赎回,0.00%
005549,富国成长优选三年定开混合,1.1988,1.1988,1.1828,1.1828,0.0160,1.35,暂停申购,暂停赎回,0.15%
011046,富国优质企业混合A,1.0474,1.0474,1.0334,1.0334,0.0140,1.35,开放申购,开放赎回,0.15%
011047,富国优质企业混合C,1.0446,1.0446,1.0307,1.0307,0.0139,1.35,开放申购,开放赎回,0.00%
001349,富国改革动力混合,0.90,0.90,0.8880,0.8880,0.0120,1.35,开放申购,开放赎回,0.15%
000591,中银健康生活混合,2.79,2.79,2.7530,2.7530,0.0370,1.34,开放申购,开放赎回,0.15%
008272,大成优势企业混合C,1.7956,1.7956,1.7718,1.7718,0.0238,1.34,开放申购,开放赎回,0.00%
010166,招商兴和优选1年持有期混合,0.8571,0.8571,0.8458,0.8458,0.0113,1.34,开放申购,暂停赎回,0.15%
090020,大成健康产业混合,2.1380,2.1380,2.11,2.11,0.0280,1.33,开放申购,开放赎回,0.15%
501069,华宝标普中国A股质量价值,1.5354,1.5354,1.5152,1.5152,0.0202,1.33,限大额,开放赎回,0.10%
000057,中银消费主题混合,2.4650,2.4650,2.4330,2.4330,0.0320,1.32,开放申购,开放赎回,0.15%
010699,东方红创新趋势混合,0.9590,0.9590,0.9465,0.9465,0.0125,1.32,开放申购,开放赎回,1.50%
005545,中银改革红利灵活配置混合,2.6680,2.6680,2.6336,2.6336,0.0344,1.31,开放申购,开放赎回,0.15%
008075,招商核心优选股票A,1.4077,1.4077,1.3895,1.3895,0.0182,1.31,开放申购,开放赎回,0.15%
008076,招商核心优选股票C,1.3890,1.3890,1.3711,1.3711,0.0179,1.31,开放申购,开放赎回,0.00%
070021,嘉实主题新动力混合,4.1540,4.1540,4.1010,4.1010,0.0530,1.29,开放申购,开放赎回,0.15%
006364,招商丰韵混合A,2.2215,2.2215,2.1932,2.1932,0.0283,1.29,开放申购,开放赎回,0.15%
006365,招商丰韵混合C,2.1789,2.1789,2.1512,2.1512,0.0277,1.29,开放申购,开放赎回,0.00%
011278,华夏内需驱动混合A,0.9053,0.9053,0.8938,0.8938,0.0115,1.29,开放申购,开放赎回,0.15%
011279,华夏内需驱动混合C,0.9019,0.9019,0.8905,0.8905,0.0114,1.28,开放申购,开放赎回,0.00%
000220,富国医疗保健行业混合A,5.1980,5.1980,5.1330,5.1330,0.0650,1.27,开放申购,开放赎回,0.15%
011151,富国医疗保健行业混合C,5.1790,5.1790,5.1140,5.1140,0.0650,1.27,开放申购,开放赎回,0.00%
000689,前海开源新经济混合A,3.2256,3.3356,3.1850,3.2950,0.0406,1.27,限大额,开放赎回,0.15%
013157,前海开源新经济混合C,3.2253,3.2253,3.1847,3.1847,0.0406,1.27,限大额,开放赎回,0.00%
002304,平安安心灵活配置混合A,1.6622,1.6622,1.6414,1.6414,0.0208,1.27,限大额,开放赎回,0.12%
166107,信达澳银量化多因子混合(LOF)A,1.4421,1.4421,1.4240,1.4240,0.0181,1.27,开放申购,开放赎回,0.15%
166108,信达澳银量化多因子混合(LOF)C,1.4212,1.4212,1.4034,1.4034,0.0178,1.27,开放申购,开放赎回,0.00%
010355,诺安中证500指数增强C,1.1016,1.1016,1.0878,1.0878,0.0138,1.27,开放申购,开放赎回,0.00%
240022,华宝资源优选混合A,3.6960,3.8050,3.65,3.7590,0.0460,1.26,开放申购,开放赎回,0.15%
011068,华宝资源优选混合C,3.6880,3.6880,3.6420,3.6420,0.0460,1.26,开放申购,开放赎回,0.00%
002264,华夏乐享健康混合,2.2520,2.2520,2.2240,2.2240,0.0280,1.26,开放申购,开放赎回,0.15%
005449,华夏行业龙头混合,1.7584,1.7584,1.7365,1.7365,0.0219,1.26,开放申购,开放赎回,0.15%
007048,平安安心灵活配置混合C,1.6604,1.6604,1.6397,1.6397,0.0207,1.26,限大额,开放赎回,0.00%
003218,前海开源祥和债券A,1.4870,1.4870,1.4685,1.4685,0.0185,1.26,开放申购,开放赎回,0.08%
003219,前海开源祥和债券C,1.4774,1.4774,1.4590,1.4590,0.0184,1.26,开放申购,开放赎回,0.00%
009246,大摩ESG量化混合,1.3933,1.3933,1.3759,1.3759,0.0174,1.26,开放申购,开放赎回,0.15%
000996,中银新动力股票,1.37,1.37,1.3530,1.3530,0.0170,1.26,开放申购,开放赎回,0.15%
001351,诺安中证500指数增强A,1.1050,1.1050,1.0912,1.0912,0.0138,1.26,开放申购,开放赎回,0.12%
910011,东方红启瑞三年持有混合A,3.2185,3.5335,3.1787,3.4937,0.0398,1.25,暂停申购,开放赎回,0.00%
011312,东方红启瑞三年持有混合B,3.2094,3.2094,3.1698,3.1698,0.0396,1.25,开放申购,暂停赎回,1.50%
100016,富国天源沪港深平衡混合,3.1140,4.8270,3.0760,4.7890,0.0380,1.24,开放申购,开放赎回,0.15%
910017,东方红多元策略混合A,2.7695,2.8835,2.7356,2.8496,0.0339,1.24,暂停申购,开放赎回,0.00%
010821,东方红多元策略混合B,2.7580,2.7580,2.7242,2.7242,0.0338,1.24,开放申购,开放赎回,1.50%
164205,天弘文化新兴产业,2.4782,2.8816,2.4478,2.8463,0.0304,1.24,开放申购,开放赎回,0.15%
009069,大成睿鑫股票A,1.0817,1.0817,1.0684,1.0684,0.0133,1.24,开放申购,开放赎回,0.15%
009070,大成睿鑫股票C,1.0772,1.0772,1.0640,1.0640,0.0132,1.24,开放申购,开放赎回,0.00%
012326,天弘中证医疗设备与服务A,0.9156,0.9156,0.9044,0.9044,0.0112,1.24,开放申购,开放赎回,0.10%
000480,东方红新动力混合,3.6970,3.7850,3.6520,3.74,0.0450,1.23,开放申购,开放赎回,1.50%
240010,华宝行业精选混合,2.2185,2.2185,2.1915,2.1915,0.0270,1.23,开放申购,开放赎回,0.15%
001797,华融新利灵活配置混合,1.1560,1.1560,1.1420,1.1420,0.0140,1.23,开放申购,开放赎回,0.12%
012327,天弘中证医疗设备与服务C,0.9153,0.9153,0.9042,0.9042,0.0111,1.23,开放申购,开放赎回,0.00%
005331,益民优势安享混合,2.2726,2.2726,2.2452,2.2452,0.0274,1.22,开放申购,开放赎回,0.08%
007497,中庚价值灵动灵活配置混合,2.0508,2.0508,2.0262,2.0262,0.0246,1.21,开放申购,开放赎回,1.50%
001236,博时丝路主题股票A,2.3570,2.3570,2.3290,2.3290,0.0280,1.20,开放申购,开放赎回,0.15%
005328,前海开源价值策略股票,1.7169,1.7169,1.6966,1.6966,0.0203,1.20,开放申购,开放赎回,0.15%
009878,平安低碳经济混合A,1.1991,1.1991,1.1849,1.1849,0.0142,1.20,开放申购,开放赎回,0.12%
008412,长盛竞争优势股票A,1.0621,1.0621,1.0495,1.0495,0.0126,1.20,开放申购,开放赎回,0.15%
008413,长盛竞争优势股票C,1.0529,1.0529,1.0404,1.0404,0.0125,1.20,开放申购,开放赎回,0.00%
090009,大成行业轮动混合,3.4730,3.4730,3.4320,3.4320,0.0410,1.19,开放申购,开放赎回,0.15%
217012,招商行业领先混合A,2.8910,3.1910,2.8570,3.1570,0.0340,1.19,开放申购,开放赎回,0.15%
002145,诺安景鑫灵活配置混合,1.8597,1.8597,1.8379,1.8379,0.0218,1.19,开放申购,开放赎回,0.15%
320005,诺安价值增长混合,1.7722,2.7172,1.7513,2.6963,0.0209,1.19,开放申购,开放赎回,0.15%
001365,大成正向回报灵活配置混合,1.7060,1.7060,1.6860,1.6860,0.02,1.19,开放申购,开放赎回,0.15%
009879,平安低碳经济混合C,1.1891,1.1891,1.1751,1.1751,0.0140,1.19,开放申购,开放赎回,0.00%
012264,中银研究精选灵活配置混合C,1.0190,1.1410,1.0070,1.1290,0.0120,1.19,开放申购,开放赎回,0.00%
